_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
57,PARK,BUCA,ÇAMLIPINAR,254 sokak,BUCA ÇAMLIPINAR MAHALLESİ  (254 SOKAK PARKI),1098.029999999999972715158946812152862548828125,1,1
58,PARK,BUCA,BUCA KOOP,242/34 sokak,BUCA KOOP PARKI-1,2170.88999999999987267074175179004669189453125,,1
59,PARK,BUCA,BUCA KOOP,1409 sokak,BUCA KOOP PARKI-2,6571.100000000000363797880709171295166015625,1,1
60,PARK,BUCA,KURUÇEŞME,1133 sokak,BUCA KURUÇEŞME PARKI-1,2117.239999999999781721271574497222900390625,,1
61,PARK,BUCA,KURUÇEŞME,205/8 sokak,BUCA KURUÇEŞME PARKI-2,2611.13999999999987267074175179004669189453125,1,1
62,PARK,BUCA,ÇAMLIKULE,220/60 sokak,ESKİ ÇAMLIKULE PARKI  ),1413.549999999999954525264911353588104248046875,,1
63,PARK,BUCA,ÇAMLIKULE,242/28 sokak,YENİ ÇAMLIKULE PARKI  ,2285.84000000000014551915228366851806640625,,1
64,PARK,BUCA,FIRAT,286 sokak,FIRAT MAHALLESİ PARKI (ESKİ),1124.1199999999998908606357872486114501953125,0,1
65,PARK,BUCA,FIRAT,288/5 sokak,FIRAT MAHALLESİ PARKI  (YENİ) 288/5 SK,1179.319999999999936335370875895023345947265625,1,1
66,PARK,BUCA,GÖKSU,679/29 sokak,GÖKSU MH. PARKI  ,809.4600000000000363797880709171295166015625,1,1
67,PARK,BUCA,HÜRRİYET,Mehmet akif caddesi,KEMAL SUNAL PARKI,1711.950000000000045474735088646411895751953125,1,1
68,PARK,BUCA,MUSTAFA KEMAL,694/47 sokak,MUSTAFA KEMAL  MAH PARKI ,2115.59999999999990905052982270717620849609375,1,1
69,PARK,BUCA,MUSTAFA KEMAL,686/38 sokak,MUSTAFA KEMAL  MAH PARKI 2 ,646.529999999999972715158946812152862548828125,1,1
70,PARK,BUCA,ADATEPE,2/17 sokak,NEŞET ERTAŞ PARKI,21295.830000000001746229827404022216796875,1,2
71,PARK,BUCA,EFELER,303/1 sokak,ÖTÜKEN PARKI,43967.1800000000002910383045673370361328125,1,1
72,PARK,BUCA,ŞİRİNKAPI,1060 sokak,ŞİRİNKAPI PARKI,14259.010000000000218278728425502777099609375,1,1
73,PARK,BUCA,YILDIZ,242/25 sokak,YILDIZ PARKI (ESKİ),2233.579999999999927240423858165740966796875,,1
74,PARK,BUCA,YILDIZ,206/43 sokak,YILDIZ PARKI (YENİ),1662.2100000000000363797880709171295166015625,1,1
75,PARK,BUCA,İNKILAP,133 sokak,ŞİRİNYER METRO İSTASYONU,5119.15999999999985448084771633148193359375,1,0
76,PARK,BUCA,İNKILAP,"",ŞİRİNYER PARKI,4165.829999999999927240423858165740966796875,,2
77,PARK,BUCA,ÇAĞDAŞ,Dede korkut caddesi,BUCA YEDİGÖLLER,88808.710000000006402842700481414794921875,,
78,PARK,BUCA,ÇAMLIKULE,200/17 sokak,MEHMET ERENLER PARKI ( METRO ŞANTİYE ),50093.5100000000020372681319713592529296875,,1
79,PARK,GAZİEMİR,ATIFBEY,56 sokak no:70,ESRA PARKI  ,11085.2099999999991268850862979888916015625,1,1
80,PARK,GAZİEMİR,ZAFER,812 sokak,EVKA -7 ZAFER MH. PARKI,1668.40000000000009094947017729282379150390625,1,1
81,PARK,GAZİEMİR,BEYAZEVLER,541 sokak,GAZİEMİR BEYAZEVLER PARKI,11586.3199999999997089616954326629638671875,1,3
82,PARK,GAZİEMİR,BEYAZEVLER,544 sokak,GAZİEMİR BEYAZEVLER PARKI  ,2599.19000000000005456968210637569427490234375,1,1
83,PARK,GAZİEMİR,IRMAK,703 sokak,GEZİ PARKI ,4818.0399999999999636202119290828704833984375,1,1
84,PARK,GAZİEMİR,ZAFER,800 sokak,GAZİEMİR ZEYTİN YAŞAM KORUSU  (EVKA  7 ),25880.61999999999898136593401432037353515625,1,2
85,PARK,GÜZELBAHÇE,KAHRAMANDERE,514 sokak,ÜNİVERSİTELİLER PARKI,6860.670000000000072759576141834259033203125,,1
86,PARK,GÜZELBAHÇE,KAHRAMANDERE,518 sokak,ZÜMRÜTEVLER PARKI,9853.079999999999927240423858165740966796875,,1
87,PARK,GÜZELBAHÇE,ATATÜRK,İstikbal caddesi,GÜZELBAHÇE BELEDİYE ÖNÜ PARKI,16367.059999999999490682967007160186767578125,,1
88,PARK,GÜZELBAHÇE,ATATÜRK,Kazım dirik caddesi,GÜZELBAHÇE AMFİ TİYATRO,,,
89,PARK,GÜZELBAHÇE,KAHRAMANDERE,Ata caddesi,GÜZELBAHÇE TEMA PARKI,3532.88999999999987267074175179004669189453125,1,1
90,PARK,NARLIDERE,ILICA,Işıl sokak,ÇAĞLAYAN PARK  (DOKUZ EYLÜL PARKI),6788.420000000000072759576141834259033203125,1,1
91,PARK,NARLIDERE,SAHİLEVLERİ,Sarmaşık sokak,GİZLİ PARK,5292.8199999999997089616954326629638671875,,1
92,PARK,NARLIDERE,SAHİLEVLERİ,Gürler caddesi,MUZAFFER EROĞLU PARKI,4794.6099999999996725819073617458343505859375,,
93,PARK,NARLIDERE,YENİKALE,"",GAZETECİ AYTAÇ SEFİLOĞLU PARKI,7950.27000000000043655745685100555419921875,1,2
94,PARK,NARLIDERE,ÇATALKAYA ,Mithatpaşa cad.,PROF.DR. AYDIN GÜVEN GÜRKAN PARKI,4872.4300000000002910383045673370361328125,1,1
95,PARK,NARLIDERE,NARLI,Coşkun sok. No:1,PİR SULTAN ABDAL PARKI,7447.7100000000000363797880709171295166015625,,
96,SAHİL BANDI,NARLIDERE,SAHİLEVLERİ,Gürler caddesi,BAKÜ PARKI 1.KISIM,20055.79999999999927240423858165740966796875,,1
97,SAHİL BANDI,NARLIDERE,SAHİLEVLERİ,Gürler caddesi,BAKÜ PARKI 2.KISIM,23492.56000000000130967237055301666259765625,1,1
98,REKREASYON ALANI,BUCA,ADATEPE,Kıbrıs caddesi,HASANAĞA BAHÇESİ,96747.75,2,3
99,REKREASYON ALANI,BALÇOVA,TELEFERİK,Sakarya caddesi,TELEFERİK,37005.02999999999883584678173065185546875,,
100,KENT ORMANI,BALÇOVA,BAHÇELERARASI,Haydar Aliyev Bulvarı,İNCİRALTI KENT ORMANI,677330.650000000023283064365386962890625,1,1
101,KENT ORMANI,KONAK,KADİFEKALE,Rakım Erkutlu Caddesi,KADİFEKALE,436954.9600000000209547579288482666015625,6,5
102,KIYI ŞERİDİ,KONAK,KONAK,Konak sahil boyu,KORDON,89411.539999999993597157299518585205078125,1,1
103,KIYI ŞERİDİ,KONAK,YENİKALE,Mksb sahil boyu,MUSTAFA KEMAL SAHİL BULVARI DENİZ TARAFI,86492.83999999999650754034519195556640625,,
104,KIYI ŞERİDİ,BALÇOVA,İNCİRALTI,İnciraltı sahil boyu,İNCİRALTI KIYI,155257,1,2
105,KIYI ŞERİDİ,GÜZELBAHÇE,ÇELEBİ,Güzelbahçe sahil boyu,GÜZELBAHÇE SAHİL,28874.080000000001746229827404022216796875,1,
106,MEYDAN,KONAK,AKDENİZ,Atatürk caddesi,CUMHURİYET MEYDANI,8798.40999999999985448084771633148193359375,,
107,MEYDAN,KONAK,KONAK,Cumhuriyet bulvarı,KONAK MEYDANI,9322.690000000000509317032992839813232421875,,
108,MEYDAN,KONAK,MİTHATPAŞA,Mithatpaşa caddesi,15 TEMMUZ ŞEHİTLERİ DEMOKRASI MEYDANI,40105.7699999999967985786497592926025390625,1,2
109,MEYDAN,BUCA,MENDERES,Erdem cadeesi 132.sokak,KASAPLAR MEYDANI,5070.6400000000003274180926382541656494140625,,1
110,MEYDAN,BUCA,KAYNAKLAR MERKEZ,Atatürk caddesi şehit islam yeşil sokak,KAYNAKLAR MEYDANI,1570.200000000000045474735088646411895751953125,,
111,PARK,KONAK,MERSİNLİ MAHALLESİ,2816 sokak,EMRAH ORTAKAYA PARKI ,12252.8199999999997089616954326629638671875,1,1
112,REKREASYON ALANI,BAYRAKLI,ÇINARLI MAHALLESİ,Altınyol,MELES DELTASI,147323,1,1
113,REKREASYON ALANI,BUCA,FIRAT,289 sokak,FIRAT YAŞAYAN PARK,27918.4300000000002910383045673370361328125,1,2
