_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
65,PARK,ÇİĞLİ,AHMET TANER KIŞLALI,6794/1 Sokak,IŞILAY SAYGIN PARKI,13967.110000000000582076609134674072265625,1,1
66,PARK,ÇİĞLİ,İNÖNÜ, 9504 Sokak,ERDAL İNÖNÜ PARKI,3891.1199999999998908606357872486114501953125,1,1
67,PARK,ÇİĞLİ,AHMET EFENDİ,1107 Sokak,AHMET EFENDİ PARKI,6587.3599999999996725819073617458343505859375,1,1
68,PARK,ÇİĞLİ,ÇAĞDAŞ,8820/1 Sokak,DR. SADIK AHMET PARKI,7145.100000000000363797880709171295166015625,1,1
69,PARK,ÇİĞLİ,ATAŞEHİR,"",ÇİĞLİ SEMA AKSU PARKI,2196.1300000000001091393642127513885498046875,,
70,PARK,ÇİĞLİ,ATAŞEHİR,8019/11 Sokak - Nazım Hikmet Ran Bulvarı,HAVA ŞEHİTLERİ PARKI,7528.899999999999636202119290828704833984375,1,1
71,PARK,ÇİĞLİ,EVKA-5,8927 Sokak,ATATÜRK PARKI,20960.54999999999927240423858165740966796875,1,2
72,PARK,ÇİĞLİ,EVKA-5,8929 Sokak,ÇİĞLİ EVKA-5 PARKI (TOPTAN ÇÖZÜM),3537.510000000000218278728425502777099609375,1,1
73,PARK,ÇİĞLİ,İNÖNÜ,"",DOSTLUK PARKI,840.1299999999999954525264911353588104248046875,,1
74,PARK,ÇİĞLİ,ATATÜRK,"",EVKA 5 YENI PARK,4982.5600000000004001776687800884246826171875,,1
75,PARK,ÇİĞLİ,EGEKENT,8831 Sokak,EGEKENT TÖREN ALANI,35353.300000000002910383045673370361328125,1,1
76,PARK,ÇİĞLİ,BALATÇIK,8789 Sokak,BALATÇIK MAHALLESİ PARKI,4661.600000000000363797880709171295166015625,,1
77,PARK,ÇİĞLİ,EVKA-2,6808 Sokak,AHMET TANER KIŞLALI PARKI,21212.110000000000582076609134674072265625,1,1
78,PARK,ÇİĞLİ,EVKA-2,6853 Sokak,EVKA -2 SEMT MERKEZİ,3515.73000000000001818989403545856475830078125,,
79,PARK,ÇİĞLİ,BALATÇIK,8786/24 Sokak,ÇİĞLİ CEMEVİ PARKI,7323.899999999999636202119290828704833984375,1,1
80,PARK,ÇİĞLİ,EVKA-2,6851 Sokak,MİLLİ PİYANGO PARKI,6128.2200000000002546585164964199066162109375,,
81,PARK,MENEMEN,İSTİKLAL,7415 Sokak ,MENEMEN İSTİKLAL MAHALLESİ PARKI,3300.7899999999999636202119290828704833984375,1,1
82,PARK,ÇİĞLİ,İNÖNÜ,9221 Sokak,HARMANDALI İNÖNÜ MAHALLESİ PARKI -2,6391.920000000000072759576141834259033203125,1,1
83,PARK,ÇİĞLİ,EVKA-2,6800 Sokak,SABİHA GÖKÇEN PARKI,10528.9300000000002910383045673370361328125,1,1
84,PARK,MENEMEN,İNCİRLİ PINAR,109/2 Sokak,İNCİRLİ PINAR MAHALLESİ PARKI,1760.740000000000009094947017729282379150390625,1,1
85,PARK,ÇİĞLİ,İNÖNÜ,9202 Sokak,HARMANDALI İNÖNÜ MAHALLESİ PARKI-1 (MUHTARLIK YANI),4460.6999999999998181010596454143524169921875,,1
86,PARK,ÇİĞLİ,AHMET TANER KIŞLALI,6767 Sokak,ENSARİ BULUT PARKI,1868.529999999999972715158946812152862548828125,,1
87,PARK,ÇİĞLİ,YENİ MAHALLE,Anadolu Caddesi,YENİ MAHALLE PARKI,12216.170000000000072759576141834259033203125,,1
88,PARK,ÇİĞLİ,AYDINLIKEVLER,6792 Sokak,AHMET ÇİFTÇİ PARKI,8336.850000000000363797880709171295166015625,1,1
89,PARK,ÇİĞLİ,AYDINLIKEVLER,6790 Sokak,FAKİR BAYKURT PARKI,6363.0399999999999636202119290828704833984375,1,1
90,PARK,ÇİĞLİ,AYDINLIKEVLER,6796/1 Sokak,ŞEHİT ERSİN TEMEL PARKI,5639.3599999999996725819073617458343505859375,1,1
91,PARK,ÇİĞLİ,CUMHURİYET,Nazmi Kahya Caddesi ,ÇİĞLİ CUMHURİYET MAHALLESİ PARKI,2854.8000000000001818989403545856475830078125,1,1
92,PARK,ÇİĞLİ,ATATÜRK,8841 Sokak,İZKENT ÇİFTE HAVUZLAR PARKI,14652.45000000000072759576141834259033203125,1,1
93,PARK,ÇİĞLİ,GÜZELTEPE,8424/11 Sokak,GÜZELTEPE PİKNİK (MESİRE) ALANI,9109.239999999999781721271574497222900390625,1,1
94,PARK,ÇİĞLİ,AHMET TANER KIŞLALI,6762 Sokak,ŞEHİT AHMET AY PARKI,9008.5400000000008731149137020111083984375,1,1
